Rating,Jersey Number,Team,Position,Height,Weight,Salary,Country,Draft Year,Draft Round,Draft Pick,Age
80,33,Houston Rockets,F,201,94.8,11301219,USA,2013,2,60,31
80,22,New Orleans Pelicans,F,206,111.6,17650000,USA,2010,1,3,30
80,20,Boston Celtics,F,201,93.9,32700690,USA,2010,1,9,31
80,0,Los Angeles Clippers,G,191,94.3,17799677,USA,2011,1,24,31
80,11,Boston Celtics,C,208,118.8,4767000,Turkey,2011,1,3,29
80,22,Chicago Bulls,F,203,89.8,27250576,USA,2013,1,2,28
80,4,New Orleans Pelicans,G,191,86.2,13486300,USA,2006,1,11,37
80,0,Philadelphia 76ers,G,196,90.7,10116576,USA,2015,2,40,28
80,1,Indiana Pacers,F,203,99.8,11060000,USA,2014,1,14,28
79,12,Memphis Grizzlies,G,191,78.9,8730240,USA,2019,1,2,22
79,13,Miami Heat,F-C,206,110.2,3454080,USA,2017,1,14,24
79,31,Brooklyn Nets,C,211,106.1,2376840,USA,2017,1,22,23
79,2,New Orleans Pelicans,G,198,86.2,8719320,USA,2017,1,2,24
79,40,Sacramento Kings,F,203,95.3,24147727,USA,2012,1,7,29
79,21,Los Angeles Clippers,G,185,81.6,12345680,USA,2009,2,42,33
79,7,Boston Celtics,F,198,101.2,6534829,USA,2016,1,3,25
79,0,Dallas Mavericks,C,213,109.8,2177483,USA,2015,1,6,28
79,7,Miami Heat,G,191,86.2,19217900,Slovenia,2008,2,45,35
79,2,Oklahoma City Thunder,G,196,81.6,3952920,Canada,2018,1,11,23
79,14,Denver Nuggets,G,193,93,17839286,USA,2014,1,19,27
79,2,Utah Jazz,F,201,94.8,11454546,Australia,2009,2,60,34
79,26,Indiana Pacers,G,196,81.6,10500000,USA,2012,1,12,29
79,11,Milwaukee Bucks,C,213,120.2,12093024,USA,2008,1,10,33
79,7,Los Angeles Lakers,C,213,122.5,4000000,USA,2008,1,18,33
79,23,New York Knicks,C,213,101.2,1559712,USA,2018,2,36,23
79,8,Orlando Magic,G,198,93.4,12500000,USA,2012,1,8,30
79,13,Cleveland Cavaliers,F,206,102.1,18539130,Canada,2011,1,4,30
79,17,Houston Rockets,F,196,102.1,8349039,USA,2006,2,35,36
79,23,Toronto Raptors,G,185,89.4,9346153,USA,2006,2,60,27
79,22,Golden State Warriors,F,201,89.4,27504630,Canada,2014,1,1,26
79,21,Chicago Bulls,F,203,99.8,12900000,USA,2007,1,12,33
78,9,New York Knicks,G,198,91.6,7839960,Canada,2019,1,3,21
